Departure,Arrival,WeeksToDeparture,std_wtd,year,month,day,weekday,week,n_days,passengers load,distance km
ORD,SFO,18.4848484848,13.4956502532,2012,8,16,3,33,15568,32171795.0,2970.9403880929817
BOS,ORD,7.8,6.03797506265,2012,3,21,2,12,15420,14293695.0,1394.7836892170462
DEN,SEA,13.0,9.33436847262,2012,9,4,1,36,15587,25799841.0,1639.3263074748904
BOS,EWR,12.090909090899999,9.2319790527,2012,7,12,3,28,15533,14293695.0,322.6185793889856
PHL,BOS,5.545454545449999,4.22761484442,2012,1,7,5,1,15346,14589337.0,451.31106179640426
LAX,EWR,13.166666666700001,9.95933761839,2012,9,1,5,35,15584,31326268.0,3949.399531832814
ATL,ORD,10.6315789474,9.91749591108,2011,12,12,0,50,15320,44414121.0,974.5225568706392
ORD,DEN,14.037037037000001,9.70519877132,2012,7,23,0,30,15544,32171795.0,1449.0208387501316
DFW,ORD,6.92857142857,5.014813221680001,2012,3,6,1,10,15405,28022904.0,1290.1793707420127
PHL,DFW,5.454545454550001,4.15604707297,2012,1,25,2,4,15364,14589337.0,2095.66962946931
MSP,DEN,11.086956521700001,8.14590272624,2012,7,24,1,30,15545,15943878.0,1114.7611389199733
ATL,MCO,11.086956521700001,8.4526114495,2012,3,7,2,10,15406,45798928.0,648.9623198292838
BOS,EWR,13.2608695652,10.7204875708,2012,10,19,4,42,15632,14293695.0,322.6185793889856
ORD,MSP,8.63157894737,6.4911095295,2011,10,30,6,43,15277,31892301.0,537.7155123098858
EWR,LAX,12.8181818182,8.671993035249999,2011,12,25,6,51,15333,16814092.0,3949.399531832814
DEN,DFW,9.11111111111,6.08652212959,2012,9,4,1,36,15587,25799841.0,1037.4122012303676
ORD,LAX,13.25,10.0141204654,2012,3,9,4,10,15408,32171795.0,2807.506678346936
CLT,LGA,11.409090909100001,7.920191741960001,2011,10,2,6,39,15249,19022535.0,874.2934288846586
SFO,JFK,18.486486486500002,12.777196748800002,2012,12,20,3,51,15694,21284236.0,4161.8918990627035
MCO,ATL,13.2592592593,9.800284896139999,2012,10,28,6,43,15641,17159427.0,648.9623198292838
ORD,DTW,9.647058823530001,7.557621785910001,2011,9,15,3,37,15232,31892301.0,378.2448562948795
ORD,DFW,11.1304347826,7.02789473084,2012,7,19,3,29,15540,32171795.0,1290.1793707420127
LAX,DEN,11.791666666700001,9.35753203559,2012,5,20,6,20,15480,31326268.0,1366.9188465950538
PHX,DEN,11.2631578947,9.15206173046,2012,8,28,1,35,15580,19560870.0,948.8652266798391
JFK,LAS,12.2272727273,10.118026431799999,2013,1,28,0,5,15733,0.0,3617.7361768351943
CLT,ATL,9.95,8.2556200953,2012,5,17,3,20,15477,20033816.0,365.5358230110742
ORD,SEA,16.59375,10.956981498,2012,8,13,0,33,15565,32171795.0,2768.641923284091
DFW,PHL,11.5714285714,9.13548810175,2012,10,25,3,43,15638,28022904.0,2095.66962946931
DEN,LAX,15.0344827586,11.890821065699999,2012,12,25,1,52,15699,25799841.0,1366.9188465950538
MIA,ATL,14.75,10.779352691300002,2012,2,12,6,6,15382,18987488.0,957.5479777622464
ORD,EWR,11.2380952381,8.51413390724,2011,10,11,1,41,15258,31892301.0,1157.1569390818115
JFK,LAX,16.9142857143,11.7482700318,2012,5,16,2,20,15476,24520981.0,3982.9681467053942
LAS,ORD,12.625,9.79268804417,2012,3,19,0,12,15418,19959651.0,2436.841470773542
MCO,PHL,13.5769230769,9.533826417230001,2012,7,16,0,29,15537,17159427.0,1385.9131208526271
BOS,LGA,5.0,4.15604707297,2012,9,12,2,37,15595,14293695.0,297.0289816330235
DFW,DEN,7.13333333333,4.718756898450001,2012,3,9,4,10,15408,28022904.0,1037.4122012303676
CLT,LGA,12.44,8.26680107418,2012,11,20,1,47,15664,20033816.0,874.2934288846586
DEN,ORD,9.63157894737,7.158604196010001,2013,1,21,0,4,15726,0.0,1449.0208387501316
ATL,PHL,12.541666666700001,10.2149896962,2011,11,5,5,44,15283,44414121.0,1071.0060503652837
DEN,DFW,10.15,7.00582464435,2012,1,20,4,3,15359,25799841.0,1037.4122012303676
ATL,LAX,13.153846153800002,8.67037396053,2011,10,26,2,43,15273,44414121.0,3132.523534848407
PHL,ORD,11.3636363636,7.877305887929999,2011,9,24,5,38,15241,14883180.0,1090.5211297631404
DEN,SFO,12.7727272727,9.74890381228,2012,2,17,4,7,15387,25799841.0,1538.142783061649
DTW,ATL,9.10526315789,5.801290439219999,2011,11,30,2,48,15308,15716865.0,956.6034171320205
JFK,MIA,15.392857142899999,11.467633310999998,2011,12,19,0,51,15327,23664832.0,1753.5587649971123
PHL,MCO,13.0740740741,8.061904365239997,2013,1,10,3,2,15715,0.0,1385.9131208526271
CLT,LGA,10.7368421053,8.312254041560001,2012,9,19,2,38,15602,20033816.0,874.2934288846586
JFK,LAX,14.8387096774,10.099824335700001,2011,10,28,4,43,15275,23664832.0,3982.9681467053942
JFK,LAS,11.782608695699999,8.062012616639999,2012,11,29,3,48,15673,24520981.0,3617.7361768351943
LGA,MIA,11.052631578900002,9.60598010622,2012,1,30,0,5,15369,12818717.0,1764.8739598115098
PHX,DEN,8.0,5.65685424949,2012,3,21,2,12,15420,19560870.0,948.8652266798391
ATL,DTW,9.88888888889,8.930377034980001,2012,4,11,2,15,15441,45798928.0,956.6034171320205
LAS,LAX,16.6176470588,11.703443435,2012,6,24,6,25,15515,19959651.0,380.1516938938273
LAX,ATL,10.782608695699999,7.83904285518,2012,12,13,3,50,15687,31326268.0,3132.523534848407
LAS,DEN,11.2727272727,7.74708435589,2012,9,1,5,35,15584,19959651.0,991.0640578482363
ORD,MSP,9.23529411765,9.41759929444,2013,1,7,0,2,15712,0.0,537.7155123098858
ATL,LAX,13.3703703704,10.2249624718,2013,1,19,5,3,15724,0.0,3132.523534848407
DTW,ORD,10.3684210526,7.882544191060001,2011,9,11,6,36,15228,15716865.0,378.2448562948795
PHX,DEN,9.55,6.00416522091,2011,10,18,1,42,15265,19750306.0,948.8652266798391
ATL,SFO,13.590909090899999,11.375240827999999,2012,1,10,1,2,15349,45798928.0,3442.1540317854965
ATL,ORD,10.5714285714,8.62885524604,2012,3,5,0,10,15404,45798928.0,974.5225568706392
DFW,ORD,11.958333333299999,7.832369660119999,2011,9,22,3,38,15239,27518358.0,1290.1793707420127
DFW,LGA,9.0,6.25911100622,2011,11,20,6,46,15298,27518358.0,2234.831514877276
LAX,IAH,13.173913043499999,11.332383902,2013,2,7,3,6,15743,0.0,2219.3851132122545
PHX,ORD,13.32,9.62514069161,2011,12,15,3,50,15323,19750306.0,2316.8496979811985
DFW,LAX,14.862068965499999,10.1655023695,2012,7,3,1,27,15524,28022904.0,1987.4016037900508
MCO,EWR,15.7142857143,11.391540535299999,2012,7,16,0,29,15537,17159427.0,1509.2140580816642
DEN,MSP,8.13333333333,6.54508175947,2012,3,7,2,10,15406,25799841.0,1114.7611389199733
SEA,LAX,10.5789473684,9.03275391422,2011,12,1,3,48,15309,15971676.0,1534.903426859992
DEN,LAS,12.3076923077,8.67534082682,2012,7,19,3,29,15540,25799841.0,991.0640578482363
SFO,EWR,16.7666666667,12.433778612100001,2012,8,8,2,32,15560,21284236.0,4128.087796487114
ATL,LAX,11.8636363636,8.41368191044,2012,7,17,1,29,15538,45798928.0,3132.523534848407
EWR,MCO,14.0,11.0084142902,2012,6,19,1,25,15510,17055993.0,1509.2140580816642
LAX,SFO,15.0344827586,11.9148249751,2012,10,16,1,42,15629,31326268.0,543.0484494730385
LAX,EWR,8.588235294119999,5.87429595281,2012,4,12,3,15,15442,31326268.0,3949.399531832814
ORD,PHL,11.619047619000002,9.04143899209,2011,10,25,1,43,15272,31892301.0,1090.5211297631404
ATL,MCO,11.4782608696,9.17441880853,2012,4,8,6,14,15438,45798928.0,648.9623198292838
ORD,MSP,11.3,9.476286192389999,2012,2,24,4,8,15394,32171795.0,537.7155123098858
ATL,DTW,9.2,6.97816142276,2013,1,7,0,2,15712,0.0,956.6034171320205
DEN,ORD,10.1764705882,7.307832220619999,2011,11,24,3,47,15302,25667499.0,1449.0208387501316
EWR,ATL,8.736842105260001,6.942958905439999,2012,6,4,0,23,15495,17055993.0,1199.5904817483238
LAS,DEN,11.409090909100001,8.157141719930001,2012,11,21,2,47,15665,19959651.0,991.0640578482363
ORD,PHX,9.27777777778,6.80661923127,2013,2,16,5,7,15752,0.0,2316.8496979811985
BOS,LGA,3.5,2.44948974278,2013,1,6,6,1,15711,0.0,297.0289816330235
PHL,MCO,12.916666666700001,9.08853394533,2011,10,12,2,41,15259,14883180.0,1385.9131208526271
PHL,MCO,15.8965517241,11.998049923699998,2012,4,28,5,17,15458,14589337.0,1385.9131208526271
MSP,DEN,8.76470588235,8.76448381085,2012,11,4,6,44,15648,15943878.0,1114.7611389199733
SEA,SFO,11.55,10.1694847978,2012,9,12,2,37,15595,16121123.0,1091.7844056778617
ATL,PHL,9.65,6.17529031919,2012,5,27,6,21,15487,45798928.0,1071.0060503652837
ATL,PHL,9.78947368421,6.6714894836,2011,10,24,0,43,15271,44414121.0,1071.0060503652837
SFO,LAS,12.8076923077,8.148713914570001,2011,9,11,6,36,15228,20056568.0,666.2312617124073
LGA,BOS,5.07692307692,3.77406806292,2012,6,26,1,26,15517,12818717.0,297.0289816330235
LAX,JFK,15.969696969700001,10.9615374392,2012,4,19,3,16,15449,31326268.0,3982.9681467053942
LAS,ORD,13.6785714286,8.51166333324,2011,9,18,6,37,15235,19872617.0,2436.841470773542
SFO,DFW,9.61111111111,7.5470203617,2012,4,21,5,16,15451,21284236.0,2356.682952201651
LAX,LAS,16.6470588235,11.622554752100001,2011,12,30,4,52,15338,30528737.0,380.1516938938273
EWR,SFO,12.380952380999998,11.3818987453,2012,7,16,0,29,15537,17055993.0,4128.087796487114
ORD,LAS,14.153846153800002,10.4830999526,2012,9,9,6,36,15592,32171795.0,2436.841470773542
DEN,DFW,12.0476190476,10.846548716,2012,9,26,2,39,15609,25799841.0,1037.4122012303676
SFO,SEA,11.0,8.38830354503,2012,6,28,3,26,15519,21284236.0,1091.7844056778617
ORD,EWR,7.0588235294100015,4.9556859797,2012,2,5,6,5,15375,32171795.0,1157.1569390818115
ATL,MIA,14.7586206897,10.9370117766,2011,12,20,1,51,15328,44414121.0,957.5479777622464
DFW,ORD,14.5,12.289974705499999,2012,7,3,1,27,15524,28022904.0,1290.1793707420127
IAH,ORD,11.052631578900002,9.03372498665,2012,4,27,4,17,15457,19039000.0,1488.7545277529894
DFW,BOS,8.26666666667,8.85975383943,2012,11,28,2,48,15672,28022904.0,2513.21871728724
DFW,LGA,10.0,6.727789971059999,2012,2,25,5,8,15395,28022904.0,2234.831514877276
EWR,LAX,10.25,7.635615992110001,2012,5,21,0,21,15481,17055993.0,3949.399531832814
SEA,ORD,11.15,8.4993807824,2012,10,27,5,43,15640,16121123.0,2768.641923284091
ORD,EWR,13.538461538499998,9.16615849407,2012,8,9,3,32,15561,32171795.0,1157.1569390818115
DFW,ATL,9.29411764706,7.15685603008,2012,8,10,4,32,15562,28022904.0,1177.0654003153188
ATL,LGA,10.6363636364,8.07433001523,2011,9,8,3,36,15225,44414121.0,1225.1078011881866
DEN,LAX,13.086956521700001,10.0946117197,2012,2,9,3,6,15379,25799841.0,1366.9188465950538
SEA,SFO,13.84,9.99032865659,2011,11,23,2,47,15301,15971676.0,1091.7844056778617
DEN,ORD,10.9411764706,11.5513559174,2012,11,7,2,45,15651,25799841.0,1449.0208387501316
PHL,BOS,10.5,7.725054730439999,2011,9,6,1,36,15223,14883180.0,451.31106179640426
MIA,ATL,13.291666666700001,9.53473816547,2011,11,30,2,48,15308,18342158.0,957.5479777622464
ATL,MSP,11.9545454545,9.74668330756,2012,4,22,6,16,15452,45798928.0,1458.8377972587537
ORD,DFW,12.652173913,9.52799080057,2011,12,9,4,49,15317,31892301.0,1290.1793707420127
LGA,ATL,11.7272727273,9.07734919447,2012,5,11,4,19,15471,12818717.0,1225.1078011881866
DFW,ORD,10.05,7.1338702864,2012,1,28,5,4,15367,28022904.0,1290.1793707420127
SFO,LAX,14.3666666667,10.1045682169,2012,7,1,6,26,15522,21284236.0,543.0484494730385
LAX,BOS,13.666666666700001,8.94857100754,2013,1,1,1,1,15706,0.0,4202.144252918988
ATL,DTW,11.777777777799999,10.8928230855,2013,3,4,0,10,15768,0.0,956.6034171320205
LAX,ATL,14.724137931,9.72440432154,2012,2,16,3,7,15386,31326268.0,3132.523534848407
BOS,PHL,7.0588235294100015,4.9556859797,2011,11,8,1,45,15286,14180730.0,451.31106179640426
EWR,BOS,11.5555555556,7.62520759387,2011,12,31,5,52,15339,16814092.0,322.6185793889856
ORD,MSP,8.88888888889,7.568424258169999,2011,12,5,0,49,15313,31892301.0,537.7155123098858
MIA,ATL,11.5217391304,10.317106558899999,2012,4,24,1,17,15454,18987488.0,957.5479777622464
ATL,LGA,9.1,6.904613255680001,2012,4,1,6,13,15431,45798928.0,1225.1078011881866
ORD,DEN,9.0,6.25911100622,2012,4,14,5,15,15444,32171795.0,1449.0208387501316
LAX,SFO,15.870967741900001,11.7380916549,2012,8,27,0,35,15579,31326268.0,543.0484494730385
JFK,SFO,13.1153846154,10.2306477726,2012,11,4,6,44,15648,24520981.0,4161.8918990627035
ATL,LAX,14.172413793099999,10.704034504800001,2012,2,4,5,5,15374,45798928.0,3132.523534848407
PHL,MCO,17.0625,11.793758600899999,2011,12,27,1,52,15335,14883180.0,1385.9131208526271
ATL,LGA,9.1,6.89698637469,2012,5,9,2,19,15469,45798928.0,1225.1078011881866
LAX,LAS,14.9642857143,11.053680945,2012,1,11,2,2,15350,31326268.0,380.1516938938273
LAS,SFO,13.846153846199998,10.9897854672,2012,7,19,3,29,15540,19959651.0,666.2312617124073
ATL,BOS,12.3181818182,10.5034523288,2013,2,18,0,8,15754,0.0,1522.1325932392715
CLT,ATL,7.4375,6.25,2012,1,22,6,3,15361,20033816.0,365.5358230110742
LAX,ATL,14.6785714286,11.6906216653,2012,8,20,0,34,15572,31326268.0,3132.523534848407
ATL,LGA,10.5238095238,8.26812583128,2012,2,22,2,8,15392,45798928.0,1225.1078011881866
LAS,JFK,14.037037037000001,11.2266217999,2013,2,18,0,8,15754,0.0,3617.7361768351943
DEN,SEA,13.5555555556,8.82449969527,2012,5,17,3,20,15477,25799841.0,1639.3263074748904
BOS,SFO,7.666666666669999,5.93616839705,2012,2,20,0,8,15390,14293695.0,4351.80157445948
ORD,DTW,8.63157894737,6.64338038381,2011,11,17,3,46,15295,31892301.0,378.2448562948795
DFW,LGA,10.2727272727,7.6356421015499985,2013,1,1,1,1,15706,0.0,2234.831514877276
SFO,LAX,15.870967741900001,12.035342220499999,2012,8,29,2,35,15581,21284236.0,543.0484494730385
DTW,ORD,8.823529411760003,6.28724198395,2011,9,6,1,36,15223,15716865.0,378.2448562948795
SEA,LAX,11.347826087,7.3522334000199985,2011,12,10,5,49,15318,15971676.0,1534.903426859992
LAS,DEN,11.916666666700001,7.82369125973,2012,9,11,1,37,15594,19959651.0,991.0640578482363
DFW,PHL,9.75,9.63673527014,2011,12,22,3,51,15330,27518358.0,2095.66962946931
LAX,IAH,14.892857142899999,10.2463698566,2012,12,27,3,52,15701,31326268.0,2219.3851132122545
CLT,LGA,11.052631578900002,10.1460100763,2012,8,23,3,34,15575,20033816.0,874.2934288846586
DEN,DFW,9.94117647059,10.0403597311,2012,11,11,6,45,15655,25799841.0,1037.4122012303676
SFO,SEA,11.6,10.470007289,2013,2,27,2,9,15763,0.0,1091.7844056778617
DEN,SFO,9.06666666667,8.81124822248,2012,3,12,0,11,15411,25799841.0,1538.142783061649
JFK,SFO,12.8636363636,10.8201551549,2012,3,10,5,10,15409,24520981.0,4161.8918990627035
SFO,ORD,10.3,7.637166738360001,2012,11,25,6,47,15669,21284236.0,2970.9403880929817
LAX,SEA,11.1304347826,9.73888339608,2012,6,27,2,26,15518,31326268.0,1534.903426859992
LGA,ATL,7.0625,5.47075558462,2012,2,15,2,7,15385,12818717.0,1225.1078011881866
DEN,SFO,12.961538461500002,10.4325673513,2012,1,5,3,1,15344,25799841.0,1538.142783061649
CLT,ATL,11.1904761905,8.39415896692,2011,11,22,1,47,15300,19022535.0,365.5358230110742
ORD,LAS,11.76,8.53072876918,2012,5,21,0,21,15481,32171795.0,2436.841470773542
ATL,MIA,11.2727272727,8.86502930558,2013,1,8,1,2,15713,0.0,957.5479777622464
ATL,CLT,9.0625,8.18509824824,2013,1,21,0,4,15726,0.0,365.5358230110742
DTW,LGA,9.84210526316,7.30496906903,2013,1,2,2,1,15707,0.0,806.1132848932549
EWR,SFO,14.0,12.6419216031,2012,4,24,1,17,15454,17055993.0,4128.087796487114
DEN,ATL,7.666666666669999,6.05530070819,2013,1,17,3,3,15722,0.0,1944.6376583703777
ORD,SFO,13.5769230769,9.4113679215,2012,9,1,5,35,15584,32171795.0,2970.9403880929817
SFO,LAS,12.2380952381,10.3725829083,2012,3,15,3,11,15414,21284236.0,666.2312617124073
ATL,LGA,7.5,6.12100209661,2012,1,26,3,4,15365,45798928.0,1225.1078011881866
LAX,DFW,14.36,10.919706955799999,2012,12,23,6,51,15697,31326268.0,1987.4016037900508
ORD,DEN,14.9259259259,12.6580042355,2012,2,25,5,8,15395,32171795.0,1449.0208387501316
ATL,PHL,9.66666666667,8.0,2012,2,13,0,7,15383,45798928.0,1071.0060503652837
SFO,BOS,11.0,8.78395666752,2012,1,8,6,1,15347,21284236.0,4351.80157445948
PHX,ORD,10.1052631579,7.60040011258,2011,11,21,0,47,15299,19750306.0,2316.8496979811985
ATL,MIA,11.826086956500001,9.74517210965,2012,9,9,6,36,15592,45798928.0,957.5479777622464
LAX,DEN,13.296296296300001,10.1368133925,2012,7,28,5,30,15549,31326268.0,1366.9188465950538
DEN,ORD,8.125,5.414486740830001,2012,1,18,2,3,15357,25799841.0,1449.0208387501316
DFW,DEN,8.70588235294,6.4008271524300016,2011,10,8,5,40,15255,27518358.0,1037.4122012303676
DFW,BOS,8.95,6.660764931569999,2012,4,1,6,13,15431,28022904.0,2513.21871728724
DFW,SFO,8.21428571429,6.852047099269999,2012,3,5,0,10,15404,28022904.0,2356.682952201651
DTW,ATL,8.125,5.8637303257700015,2012,3,27,1,13,15426,15599879.0,956.6034171320205
LAS,LAX,15.75,11.736351029300003,2012,1,12,3,2,15351,19959651.0,380.1516938938273
ORD,SEA,11.380952380999998,8.315504738,2011,10,12,2,41,15259,31892301.0,2768.641923284091
LAX,JFK,18.555555555599998,12.166568818900002,2012,1,6,4,1,15345,31326268.0,3982.9681467053942
JFK,MIA,16.65625,11.3097428025,2012,1,6,4,1,15345,24520981.0,1753.5587649971123
ORD,LAS,9.57894736842,6.46628683999,2011,12,20,1,51,15328,31892301.0,2436.841470773542
PHL,ORD,10.7272727273,6.950038151189999,2012,1,2,0,1,15341,14589337.0,1090.5211297631404
LAX,SFO,16.7647058824,11.6021388403,2012,10,20,5,42,15633,31326268.0,543.0484494730385
ATL,LGA,8.29411764706,5.52001705027,2013,1,20,6,3,15725,0.0,1225.1078011881866
ATL,LAX,12.826086956500001,9.796345208630001,2012,2,21,1,8,15391,45798928.0,3132.523534848407
LAS,SFO,17.9142857143,13.106736993699998,2013,1,11,4,2,15716,0.0,666.2312617124073
DEN,ORD,11.4,7.5630681604799985,2012,12,15,5,50,15689,25799841.0,1449.0208387501316
LGA,ORD,11.176470588199999,10.3636099775,2012,4,21,5,16,15451,12818717.0,1179.8340638493225
DEN,SFO,10.75,9.27290904222,2012,3,4,6,9,15403,25799841.0,1538.142783061649
ATL,PHL,10.5217391304,7.40926671146,2012,8,6,0,32,15558,45798928.0,1071.0060503652837
LAS,DFW,9.25,9.448103866210001,2012,5,15,1,20,15475,19959651.0,1698.2098866839724
ATL,EWR,13.0476190476,11.676798321800003,2012,5,12,5,19,15472,45798928.0,1199.5904817483238
ATL,LAX,11.0,8.1408063036,2011,9,19,0,38,15236,44414121.0,3132.523534848407
ORD,IAH,11.8636363636,8.32263382387,2012,2,16,3,7,15386,32171795.0,1488.7545277529894
PHL,ATL,9.555555555560002,7.22106576965,2011,12,9,4,49,15317,14883180.0,1071.0060503652837
DEN,MSP,12.8148148148,9.08945727853,2011,9,25,6,38,15242,25667499.0,1114.7611389199733
LAX,JFK,19.6829268293,12.8421941747,2011,12,28,2,52,15336,30528737.0,3982.9681467053942
LAX,ORD,15.833333333299999,11.132689774200001,2012,9,28,4,39,15611,31326268.0,2807.506678346936
LAX,ATL,14.1,9.3120241142,2013,1,18,4,3,15723,0.0,3132.523534848407
LGA,BOS,6.583333333330001,7.216878364869999,2011,9,1,3,35,15218,11989227.0,297.0289816330235
LGA,MIA,18.0,11.7598519398,2011,12,22,3,51,15330,11989227.0,1764.8739598115098
SFO,DEN,10.0952380952,6.378908699019999,2012,3,26,0,13,15425,21284236.0,1538.142783061649
LAS,SFO,11.5714285714,8.19494617781,2011,11,29,1,48,15307,19872617.0,666.2312617124073
ATL,PHL,9.85,6.49919023296,2012,11,16,4,46,15660,45798928.0,1071.0060503652837
LAX,BOS,9.16666666667,7.770608273560001,2012,1,30,0,5,15369,31326268.0,4202.144252918988
SEA,LAX,14.0344827586,9.667629191649999,2012,8,23,3,34,15575,16121123.0,1534.903426859992
LGA,BOS,3.0,2.82842712475,2012,12,8,5,49,15682,12818717.0,297.0289816330235
BOS,EWR,11.0555555556,10.4288751986,2012,1,3,1,1,15342,14293695.0,322.6185793889856
SFO,EWR,14.5333333333,8.86190348251,2011,9,22,3,38,15239,20056568.0,4128.087796487114
SEA,DEN,8.666666666669999,5.65685424949,2012,8,30,3,35,15582,16121123.0,1639.3263074748904
ATL,DTW,8.27777777778,6.43341968854,2012,8,9,3,32,15561,45798928.0,956.6034171320205
BOS,SFO,12.64,8.58234622156,2012,10,11,3,41,15624,14293695.0,4351.80157445948
PHL,BOS,8.0625,5.79043751945,2012,10,21,6,42,15634,14589337.0,451.31106179640426
ATL,MSP,8.29411764706,5.542615649249999,2011,9,2,4,35,15219,44414121.0,1458.8377972587537
DEN,PHX,13.0,12.4007168252,2013,1,5,5,1,15710,0.0,948.8652266798391
DFW,LAX,12.958333333299999,8.69522190965,2011,9,24,5,38,15241,27518358.0,1987.4016037900508
LAS,SFO,13.56,10.464543309,2012,6,18,0,25,15509,19959651.0,666.2312617124073
SFO,DFW,11.2727272727,7.73478117511,2012,5,3,3,18,15463,21284236.0,2356.682952201651
DEN,ATL,10.2631578947,8.12295858295,2011,11,16,2,46,15294,25667499.0,1944.6376583703777
ATL,ORD,12.2727272727,11.161932833900002,2012,1,30,0,5,15369,45798928.0,974.5225568706392
LGA,DFW,8.8125,7.341378163080001,2011,11,18,4,46,15296,11989227.0,2234.831514877276
SFO,DFW,12.3636363636,9.824873461180001,2012,10,22,0,43,15635,21284236.0,2356.682952201651
DFW,PHL,6.92857142857,4.92191778937,2012,6,18,0,25,15509,28022904.0,2095.66962946931
MSP,DEN,10.9545454545,8.46548889105,2012,9,6,3,36,15589,15943878.0,1114.7611389199733
SFO,BOS,10.3333333333,6.7181346617400015,2013,1,8,1,2,15713,0.0,4351.80157445948
PHL,BOS,7.555555555560001,8.790777996160001,2013,2,8,4,6,15744,0.0,451.31106179640426
CLT,LGA,9.0625,7.07548584904,2013,2,15,4,7,15751,0.0,874.2934288846586
EWR,ATL,11.5238095238,9.91271429841,2012,8,6,0,32,15558,17055993.0,1199.5904817483238
PHL,DFW,9.0,7.00476028617,2012,8,17,4,33,15569,14589337.0,2095.66962946931
LGA,ORD,11.277777777799999,10.7254812345,2012,12,19,2,51,15693,12818717.0,1179.8340638493225
SFO,DFW,10.5,8.42614977318,2012,5,22,1,21,15482,21284236.0,2356.682952201651
